fold,test_start,test_end,model,rmse,mae,mape,r2,bias,directional_accuracy
0,2015-08-01 00:00:00,2016-07-01 00:00:00,ARIMA,710.9980070865996,598.0240638980523,5.016066746226375,0.11183809812101864,-288.74336650510776,72.72727272727273
0,2015-08-01 00:00:00,2016-07-01 00:00:00,SARIMA,850.3555683545819,667.0450974958322,5.5149283441855435,-0.2704468273175624,-473.1418721254915,54.54545454545454
0,2015-08-01 00:00:00,2016-07-01 00:00:00,SARIMAX,615.7423610122688,507.4136738773697,4.3222795480312355,0.33387851985648265,-91.99413244149537,63.63636363636363
0,2015-08-01 00:00:00,2016-07-01 00:00:00,Prophet,1270.5496055621466,1009.7189834482427,8.437528031599468,-1.8362115713692373,-1004.1215674317409,63.63636363636363
0,2015-08-01 00:00:00,2016-07-01 00:00:00,XGBoost,766.6250135959624,624.3751916525548,5.210999570347765,-0.03257437693953902,-331.90919335908967,63.63636363636363
0,2015-08-01 00:00:00,2016-07-01 00:00:00,Hybrid_ARIMA_XGBoost,726.666149321609,638.1031605116483,5.383610414719867,0.07226224152581018,-273.0407846734791,63.63636363636363
0,2015-08-01 00:00:00,2016-07-01 00:00:00,LSTM_univariate,953.4050707041451,755.5627925937887,6.257112669567859,-0.5970197534961981,-512.170110077192,36.36363636363637
0,2015-08-01 00:00:00,2016-07-01 00:00:00,Baseline_LastValue,932.6523551169762,729.7119314772543,6.021801994582745,-0.5282519395007717,-548.3310808749949,0.0
0,2015-08-01 00:00:00,2016-07-01 00:00:00,Baseline_TrainMean,4260.808410617262,4193.484812269516,35.91823894907875,-30.896232319031295,-4193.484812269516,0.0
0,2015-08-01 00:00:00,2016-07-01 00:00:00,Baseline_Drift,672.3598932178022,572.4242437695754,4.8140684093643165,0.2057468018646723,-256.2253751321629,72.72727272727273
1,2016-08-01 00:00:00,2017-07-01 00:00:00,ARIMA,1037.530808341135,947.8888927372268,7.830370906761576,-5.601977104069777,947.8888927372268,45.45454545454545
1,2016-08-01 00:00:00,2017-07-01 00:00:00,SARIMA,1051.7002356539026,957.7405450213629,7.912944582149885,-5.783533176429889,957.7405450213629,36.36363636363637
1,2016-08-01 00:00:00,2017-07-01 00:00:00,SARIMAX,984.6805570918218,901.3821313838729,7.4427550795376805,-4.9465179787541755,901.3821313838729,63.63636363636363
1,2016-08-01 00:00:00,2017-07-01 00:00:00,Prophet,3206.5616375874865,2487.2517501374555,20.375121262225072,-62.05959771541904,1308.5515373420578,27.27272727272727
1,2016-08-01 00:00:00,2017-07-01 00:00:00,XGBoost,532.2140178223331,439.98671590600435,3.606436981795622,-0.7371792336099536,-27.061832682168944,54.54545454545454
1,2016-08-01 00:00:00,2017-07-01 00:00:00,Hybrid_ARIMA_XGBoost,1336.691333774568,1240.7044888978612,10.22571411335136,-9.95807517973683,1240.7044888978612,54.54545454545454
1,2016-08-01 00:00:00,2017-07-01 00:00:00,LSTM_univariate,544.0366379960674,440.2052946005659,3.5588493307980396,-0.815215984180605,-105.68763829322945,36.36363636363637
1,2016-08-01 00:00:00,2017-07-01 00:00:00,Baseline_LastValue,855.7803812033023,754.5245940046365,6.251757816630556,-3.4915543889119993,754.5245940046365,0.0
1,2016-08-01 00:00:00,2017-07-01 00:00:00,Baseline_TrainMean,4655.200299195725,4637.654269966376,37.65092180080076,-131.9072754112864,-4637.654269966376,0.0
1,2016-08-01 00:00:00,2017-07-01 00:00:00,Baseline_Drift,1218.3743851522213,1096.651232196776,9.065275204022958,-8.104026867157655,1096.651232196776,36.36363636363637
2,2017-08-01 00:00:00,2018-07-01 00:00:00,ARIMA,340.0134947698354,298.40170036597584,2.4531272160282254,-1.5226621833100698,-215.38937894311252,36.36363636363637
2,2017-08-01 00:00:00,2018-07-01 00:00:00,SARIMA,621.8346284473192,588.3771695796345,4.820839237431001,-7.437554577804923,-588.3771695796345,72.72727272727273
2,2017-08-01 00:00:00,2018-07-01 00:00:00,SARIMAX,239.2829423838162,199.56764840827827,1.6505506449388485,-0.24936768751993132,-87.44276518941342,63.63636363636363
2,2017-08-01 00:00:00,2018-07-01 00:00:00,Prophet,1529.7074251198007,1121.7379909165281,9.273234998296282,-50.06032069715679,-522.996074913878,45.45454545454545
2,2017-08-01 00:00:00,2018-07-01 00:00:00,XGBoost,405.53971450278186,325.08277869371705,2.654771526717594,-2.588670386072662,-300.7525628646854,54.54545454545454
2,2017-08-01 00:00:00,2018-07-01 00:00:00,Hybrid_ARIMA_XGBoost,397.4179866103637,350.3485601526748,2.8664251316632883,-2.446369405942773,-310.1510635746463,54.54545454545454
2,2017-08-01 00:00:00,2018-07-01 00:00:00,LSTM_univariate,244.50450349872062,188.6708192037046,1.575197339343429,-0.3044892790602818,118.40155408506689,63.63636363636363
2,2017-08-01 00:00:00,2018-07-01 00:00:00,Baseline_LastValue,531.4600275585835,486.43757817799934,3.978000934805366,-5.163224678921374,-486.43757817799934,0.0
2,2017-08-01 00:00:00,2018-07-01 00:00:00,Baseline_TrainMean,4210.709851796157,4205.264464047929,34.63096671783525,-385.88101767468163,-4205.264464047929,0.0
2,2017-08-01 00:00:00,2018-07-01 00:00:00,Baseline_Drift,340.48258869729034,296.97514547728196,2.442291253765305,-1.5296276822366566,-209.38033292025133,36.36363636363637
3,2018-08-01 00:00:00,2019-07-01 00:00:00,ARIMA,641.7766643147394,518.7362904997457,4.120284857145682,0.09916752101147608,-328.5678310564942,63.63636363636363
3,2018-08-01 00:00:00,2019-07-01 00:00:00,SARIMA,776.7035196822919,631.8261316363133,5.011595883539093,-0.3194311687216791,-437.3338062818143,36.36363636363637
3,2018-08-01 00:00:00,2019-07-01 00:00:00,SARIMAX,622.4148918652595,504.25884982055976,4.0076158805392845,0.15270207511709777,-308.89187644655385,72.72727272727273
3,2018-08-01 00:00:00,2019-07-01 00:00:00,Prophet,3604.043787234578,2870.8023833357715,22.921158237752646,-27.4090237814784,-1347.6585741791037,27.27272727272727
3,2018-08-01 00:00:00,2019-07-01 00:00:00,XGBoost,781.9527154596302,641.5873516861429,5.097176037332307,-0.33732565787330837,-507.3310687754468,54.54545454545454
3,2018-08-01 00:00:00,2019-07-01 00:00:00,Hybrid_ARIMA_XGBoost,730.2092753501825,584.0583871880203,4.647591346220451,-0.166194216089246,-320.0387155182414,54.54545454545454
3,2018-08-01 00:00:00,2019-07-01 00:00:00,LSTM_univariate,664.9786991400746,524.067671672427,4.367248821660447,0.032854844330700184,221.97260712682768,54.54545454545454
3,2018-08-01 00:00:00,2019-07-01 00:00:00,Baseline_LastValue,875.2682943948759,701.4142265308589,5.540921976772541,-0.6755546084263631,-555.7662042444281,0.0
3,2018-08-01 00:00:00,2019-07-01 00:00:00,Baseline_TrainMean,4119.809946386985,4063.9408805931803,33.03254592718373,-36.1219307556188,-4063.9408805931803,0.0
3,2018-08-01 00:00:00,2019-07-01 00:00:00,Baseline_Drift,620.093600361429,506.3794590522254,4.033084108625675,0.1590102720119293,-293.47806866971405,63.63636363636363
4,2019-08-01 00:00:00,2020-07-01 00:00:00,ARIMA,2049.1470158004818,1713.1494714755788,10.598394624948497,-2.3161582802432896,-1713.1494714755788,27.27272727272727
4,2019-08-01 00:00:00,2020-07-01 00:00:00,SARIMA,2014.96592567956,1700.3365379099323,10.535780474871599,-2.206449675143346,-1700.3365379099323,45.45454545454545
4,2019-08-01 00:00:00,2020-07-01 00:00:00,SARIMAX,1904.9254193668194,1563.4912756671008,9.646018058994473,-1.8657940031667892,-1563.4912756671008,45.45454545454545
4,2019-08-01 00:00:00,2020-07-01 00:00:00,Prophet,2849.6201534803013,2672.1671292630913,16.901761435120143,-5.413025438292133,-2672.1671292630913,54.54545454545454
4,2019-08-01 00:00:00,2020-07-01 00:00:00,XGBoost,2477.519644261179,2309.7050740754185,14.600942400009083,-3.84756039721291,-2309.7050740754185,72.72727272727273
4,2019-08-01 00:00:00,2020-07-01 00:00:00,Hybrid_ARIMA_XGBoost,1845.580863040138,1538.6853991355213,9.517812927916614,-1.6900179130532242,-1538.6853991355213,27.27272727272727
4,2019-08-01 00:00:00,2020-07-01 00:00:00,LSTM_univariate,3180.9746149635303,2980.4207949519455,18.829493049775124,-6.991152562951564,-2980.4207949519455,18.181818181818183
4,2019-08-01 00:00:00,2020-07-01 00:00:00,Baseline_LastValue,2169.3958510564844,1854.7380043766007,11.51639915142697,-2.7167780346741113,-1854.7380043766007,0.0
4,2019-08-01 00:00:00,2020-07-01 00:00:00,Baseline_TrainMean,7198.619084703301,7110.125978697734,45.624720008781395,-39.924878838222206,-7110.125978697734,0.0
4,2019-08-01 00:00:00,2020-07-01 00:00:00,Baseline_Drift,1833.3827164971158,1550.1603341131752,9.608091690007004,-1.6545767185889857,-1550.1603341131752,72.72727272727273
5,2020-08-01 00:00:00,2021-07-01 00:00:00,ARIMA,1120.891955782369,987.4992862963445,6.077795376975067,-1.2829259017718386,814.96321044589,27.27272727272727
5,2020-08-01 00:00:00,2021-07-01 00:00:00,SARIMA,1245.8105628564817,1074.1575803880924,6.628112237379906,-1.820124804139859,945.769207410779,36.36363636363637
5,2020-08-01 00:00:00,2021-07-01 00:00:00,SARIMAX,1087.2203525287368,951.5885502623302,5.862375211755972,-1.1478277944079092,845.9114463570228,63.63636363636363
5,2020-08-01 00:00:00,2021-07-01 00:00:00,Prophet,1983.9021275744258,1742.6247422034,10.293372447779342,-6.1516260410478925,-1096.3582555756534,36.36363636363637
5,2020-08-01 00:00:00,2021-07-01 00:00:00,XGBoost,1190.241794973788,1126.2207683897861,6.708343147798199,-1.5741550560109885,-1126.2207683897861,63.63636363636363
5,2020-08-01 00:00:00,2021-07-01 00:00:00,Hybrid_ARIMA_XGBoost,1424.7881949211055,1219.221612335765,7.527386220779375,-2.68862858085949,1092.3298710330548,54.54545454545454
5,2020-08-01 00:00:00,2021-07-01 00:00:00,LSTM_univariate,1446.7456452237868,1184.6427802047092,6.918090059480002,-2.803195743597283,-1183.632251336346,36.36363636363637
5,2020-08-01 00:00:00,2021-07-01 00:00:00,Baseline_LastValue,961.0332526987725,860.3933875532153,5.2763291941306845,-0.6781900454494649,610.9329515365285,0.0
5,2020-08-01 00:00:00,2021-07-01 00:00:00,Baseline_TrainMean,7936.992913000706,7902.247190483463,47.398535632700096,-113.46594440883837,-7902.247190483463,0.0
5,2020-08-01 00:00:00,2021-07-01 00:00:00,Baseline_Drift,1358.4058857616797,1188.3242800579098,7.318198493115497,-2.352921765297093,998.4876426784404,36.36363636363637
6,2021-08-01 00:00:00,2022-07-01 00:00:00,ARIMA,1457.256820809349,1116.2825459311211,6.098838801940276,-0.7690505249554749,-1090.896507065129,72.72727272727273
6,2021-08-01 00:00:00,2022-07-01 00:00:00,SARIMA,1591.068579926454,1236.782492729879,6.769607108214131,-1.108850739123671,-1196.178620554824,54.54545454545454
6,2021-08-01 00:00:00,2022-07-01 00:00:00,SARIMAX,1433.9033519180684,1105.4936297118331,6.044099085902771,-0.712804531102335,-1102.3957513085984,63.63636363636363
6,2021-08-01 00:00:00,2022-07-01 00:00:00,Prophet,1026.8068283933612,750.7183018181755,4.1340237404431734,0.12169462708088419,-662.4113035598375,54.54545454545454
6,2021-08-01 00:00:00,2022-07-01 00:00:00,XGBoost,1845.052190850403,1506.3463795444334,8.297447041758648,-1.8358637050278848,-1498.9312642460638,63.63636363636363
6,2021-08-01 00:00:00,2022-07-01 00:00:00,Hybrid_ARIMA_XGBoost,1499.9946324883242,1158.149901046241,6.335976561774076,-0.8743360284129995,-1158.149901046241,81.81818181818183
6,2021-08-01 00:00:00,2022-07-01 00:00:00,LSTM_univariate,2501.390136716093,2126.5171476044475,11.779086392530944,-4.212318065661923,-2126.5171476044475,27.27272727272727
6,2021-08-01 00:00:00,2022-07-01 00:00:00,Baseline_LastValue,1760.0904522519588,1389.859008226889,7.620234152010876,-1.5807029449742869,-1377.4984206181355,0.0
6,2021-08-01 00:00:00,2022-07-01 00:00:00,Baseline_TrainMean,8388.57699211618,8316.718550688,47.51888170092566,-57.61984059389094,-8316.718550688,0.0
6,2021-08-01 00:00:00,2022-07-01 00:00:00,Baseline_Drift,1408.6447400286884,1078.6266415905602,5.89460134116267,-0.6529929415803282,-1039.487405640293,72.72727272727273
7,2022-08-01 00:00:00,2023-07-01 00:00:00,ARIMA,1256.6081059235546,1133.045758082546,5.838744032743775,-2.867112685069362,-1133.045758082546,63.63636363636363
7,2022-08-01 00:00:00,2023-07-01 00:00:00,SARIMA,1256.6081059235546,1133.045758082546,5.838744032743775,-2.867112685069362,-1133.045758082546,63.63636363636363
7,2022-08-01 00:00:00,2023-07-01 00:00:00,SARIMAX,987.2748988237663,847.2548469591056,4.349445997793728,-1.3870598290723963,-847.2548469591056,54.54545454545454
7,2022-08-01 00:00:00,2023-07-01 00:00:00,Prophet,2246.680661768219,1851.469694815255,9.562912731017542,-11.361461138223532,656.8957929199681,45.45454545454545
7,2022-08-01 00:00:00,2023-07-01 00:00:00,XGBoost,1615.374024290598,1492.5862951248039,7.707543271670215,-5.39047740448847,-1492.5862951248039,72.72727272727273
7,2022-08-01 00:00:00,2023-07-01 00:00:00,Hybrid_ARIMA_XGBoost,1247.1956410308333,1166.0981522776367,6.0349244218726925,-2.809397410251052,-1166.0981522776367,72.72727272727273
7,2022-08-01 00:00:00,2023-07-01 00:00:00,LSTM_univariate,2657.516845239039,2537.7614076387417,13.151940355588113,-16.295740702519552,-2537.7614076387417,36.36363636363637
7,2022-08-01 00:00:00,2023-07-01 00:00:00,Baseline_LastValue,1469.9347643715216,1323.773662416469,6.819075787859474,-4.291554043379381,-1323.773662416469,0.0
7,2022-08-01 00:00:00,2023-07-01 00:00:00,Baseline_TrainMean,9657.154842669765,9635.990252854122,50.33216686379151,-227.3944274510535,-9635.990252854122,0.0
7,2022-08-01 00:00:00,2023-07-01 00:00:00,Baseline_Drift,1085.894336437919,957.9088181164847,4.929144179679393,-1.887767668067645,-957.9088181164847,54.54545454545454
8,2023-08-01 00:00:00,2024-07-01 00:00:00,ARIMA,2309.4438158601915,1721.3450958409321,7.5909388857993765,-0.9424026862568982,-1721.3450958409321,81.81818181818183
8,2023-08-01 00:00:00,2024-07-01 00:00:00,SARIMA,2309.4438158601915,1721.3450958409321,7.5909388857993765,-0.9424026862568982,-1721.3450958409321,81.81818181818183
8,2023-08-01 00:00:00,2024-07-01 00:00:00,SARIMAX,2462.98842896304,1853.8837541615487,8.187831730961467,-1.209272113405829,-1853.8837541615487,63.63636363636363
8,2023-08-01 00:00:00,2024-07-01 00:00:00,Prophet,1294.1715787505434,871.3972070972119,3.8129328284812614,0.39003041010686423,-777.2358291220677,63.63636363636363
8,2023-08-01 00:00:00,2024-07-01 00:00:00,XGBoost,2482.9913418219003,1848.639247845952,8.150943855507768,-1.2453025932807238,-1848.639247845952,72.72727272727273
8,2023-08-01 00:00:00,2024-07-01 00:00:00,Hybrid_ARIMA_XGBoost,2251.2261799063103,1774.6284501941675,7.901093564744388,-0.8457068704014215,-1774.6284501941675,54.54545454545454
8,2023-08-01 00:00:00,2024-07-01 00:00:00,LSTM_univariate,1956.0717644233146,1314.9227408907307,5.706204437105416,-0.3934584898669291,-1269.0919506407802,81.81818181818183
8,2023-08-01 00:00:00,2024-07-01 00:00:00,Baseline_LastValue,2651.47646102577,2069.899875485317,9.19598741270546,-1.5603540209413107,-2069.899875485317,0.0
8,2023-08-01 00:00:00,2024-07-01 00:00:00,Baseline_TrainMean,11489.76501534576,11369.646352416761,53.162760971457566,-47.07804073545218,-11369.646352416761,0.0
8,2023-08-01 00:00:00,2024-07-01 00:00:00,Baseline_Drift,2237.552438760492,1686.7558283952014,7.452480428436662,-0.823353654709041,-1686.7558283952014,81.81818181818183
9,2024-08-01 00:00:00,2025-07-01 00:00:00,ARIMA,4438.565257637778,3924.211089567662,13.583661611340988,-3.5660135263929815,-3924.211089567662,63.63636363636363
9,2024-08-01 00:00:00,2025-07-01 00:00:00,SARIMA,4438.565257637778,3924.211089567662,13.583661611340988,-3.5660135263929815,-3924.211089567662,63.63636363636363
9,2024-08-01 00:00:00,2025-07-01 00:00:00,SARIMAX,4437.87902713968,3866.348689653702,13.346076765520149,-3.5646017659083755,-3866.348689653702,54.54545454545454
9,2024-08-01 00:00:00,2025-07-01 00:00:00,Prophet,5045.951581932511,4884.025625376102,17.33022011822208,-4.901170092961055,-4884.025625376102,45.45454545454545
9,2024-08-01 00:00:00,2025-07-01 00:00:00,XGBoost,5491.129270117907,4939.816120661873,17.158146245953365,-5.988360663808504,-4939.816120661873,36.36363636363637
9,2024-08-01 00:00:00,2025-07-01 00:00:00,Hybrid_ARIMA_XGBoost,3979.6958618775097,3519.0047641870574,12.181598317811847,-2.6707240885656414,-3515.821967249935,63.63636363636363
9,2024-08-01 00:00:00,2025-07-01 00:00:00,LSTM_univariate,5642.428221570337,5357.203164583687,18.838298895695996,-6.378771487208626,-5357.203164583687,81.81818181818183
9,2024-08-01 00:00:00,2025-07-01 00:00:00,Baseline_LastValue,4625.881128933189,4133.291889841707,14.335810268568281,-3.959534456634346,-4133.291889841707,0.0
9,2024-08-01 00:00:00,2025-07-01 00:00:00,Baseline_TrainMean,17624.56614156517,17501.732980079894,62.556492002614746,-70.99276350173741,-17501.732980079894,0.0
9,2024-08-01 00:00:00,2025-07-01 00:00:00,Baseline_Drift,4096.417581700339,3663.290471177172,12.707534051028349,-2.889201259554734,-3663.290471177172,81.81818181818183
